cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
0,simulation5,0.016095838,0.0,0.384058,0.006759758,0.22525959,2.702255,0.556101,0.01661918
1,simulation5,0.06290228,0.023206713,0.42934272,0.04768984,0.23575357,2.6968412,0.55708766,0.01661918
2,simulation5,0.0029253531,0.056826867,0.35332924,0.053541176,0.21148278,2.7149737,0.5466914,0.01661918
3,simulation5,0.08257465,0.0794331,0.43389723,0.10775876,0.23150557,2.7031,0.55065984,0.01661918
4,simulation5,0.0,0.14551915,0.3266678,0.13421373,0.19648741,2.730729,0.5339746,0.01661918
5,simulation5,0.0,0.066265754,0.34760535,0.061010357,0.20908114,2.7171776,0.54509306,0.01661918
6,simulation5,0.20520133,0.062031716,0.5814782,0.14221719,0.27595946,2.674182,0.56480354,0.01661918
7,simulation5,0.17897098,0.0,0.57250196,0.0742096,0.2798932,2.6680028,0.5716084,0.01661918
8,simulation5,0.22581483,0.005824786,0.6271182,0.09865518,0.29568878,2.6590176,0.57524014,0.01661918
9,simulation5,0.07449656,0.0,0.44995043,0.031145914,0.24395792,2.6901321,0.5616286,0.01661918
10,simulation5,0.02532992,0.0669116,0.37475604,0.072261214,0.21639031,2.7123163,0.54726696,0.01661918
11,simulation5,0.18726413,0.05978869,0.5607689,0.13281427,0.27001098,2.6775718,0.5634308,0.01661918
12,simulation5,0.06526965,0.020291897,0.43295422,0.045991138,0.23707327,2.6958125,0.5577427,0.01661918
13,simulation5,0.17310548,0.13722153,0.51759,0.19873159,0.24939947,2.694998,0.5506503,0.01661918
14,simulation5,0.16395773,0.061432995,0.5326145,0.12478069,0.2615283,2.6828113,0.5609736,0.01661918
15,simulation5,0.2833375,0.12383251,0.6521651,0.23122843,0.2902514,2.6692472,0.563007,0.01661918
16,simulation5,0.35879034,0.045721944,0.7700529,0.18902738,0.33301863,2.6392539,0.5806236,0.01661918
17,simulation5,0.256826,0.030724848,0.65529567,0.13421577,0.30139923,2.6571522,0.5744331,0.01661918
18,simulation5,0.26616445,0.0,0.677985,0.10959809,0.3114895,2.6494865,0.57977414,0.01661918
19,simulation5,0.2938347,0.0,0.7106644,0.12074103,0.32098734,2.6439948,0.5820715,0.01661918
20,simulation5,0.29258445,0.038324002,0.69492215,0.1556725,0.31216654,2.6513617,0.5763672,0.01661918
21,simulation5,0.22518194,0.0,0.62856966,0.09302186,0.29677024,2.6580322,0.5760638,0.01661918
22,simulation5,0.3112904,0.03029624,0.7199331,0.155759,0.32029635,2.6460903,0.5790584,0.01661918
23,simulation5,0.22253916,0.090129755,0.5920921,0.17530152,0.27614138,2.6758065,0.56226015,0.01661918
24,simulation5,0.3381775,0.021455783,0.7549256,0.15833399,0.33138803,2.6389427,0.58251715,0.01661918
25,simulation5,0.22550002,0.082358025,0.5983741,0.169306,0.27881277,2.673706,0.5636992,0.01661918
26,simulation5,0.26203963,0.0,0.6730832,0.107932985,0.31005305,2.6503057,0.57943475,0.01661918
27,simulation5,0.42918104,0.21891515,0.78728646,0.37826598,0.31853822,2.6570253,0.5612153,0.01661918
28,simulation5,0.33272514,0.00019606858,0.75662076,0.13649184,0.33429965,2.636081,0.58520365,0.01661918
29,simulation5,0.3574405,0.0,0.7862808,0.14615276,0.34300062,2.6309466,0.5872376,0.01661918
30,simulation5,0.37141,0.0,0.8031751,0.1516977,0.3479869,2.6280532,0.58837336,0.01661918
31,simulation5,0.30492443,0.08218928,0.6932317,0.20127524,0.30684206,2.6569984,0.57101613,0.01661918
32,simulation5,0.4906829,0.04377607,0.9331518,0.23915508,0.38203955,2.61145,0.5916059,0.01661918
33,simulation5,0.45184383,0.08831485,0.86551696,0.2653894,0.35622483,2.628075,0.58188444,0.01661918
34,simulation5,0.39859027,0.052891556,0.8149398,0.21147586,0.34533247,2.6324105,0.5827817,0.01661918
35,simulation5,0.5000307,0.07062993,0.9332492,0.2677723,0.37882772,2.6146398,0.58838975,0.01661918
36,simulation5,0.52024096,0.13447693,0.93100816,0.33516163,0.37047768,2.6226037,0.5806352,0.01661918
37,simulation5,0.51333374,0.009784037,0.97722346,0.21636356,0.39974535,2.6000624,0.5985351,0.01661918
38,simulation5,0.5280485,0.1037137,0.95402336,0.30948555,0.38111824,2.6150928,0.5857791,0.01661918
39,simulation5,0.5509107,0.10496966,0.98239166,0.3195089,0.3896097,2.6105163,0.5874454,0.01661918
40,simulation5,0.65450543,0.0,1.1663302,0.26121747,0.45987993,2.568016,0.6113462,0.01661918
41,simulation5,0.5703823,0.029271364,1.0420278,0.25646836,0.41740108,2.5918164,0.60020417,0.01661918
42,simulation5,0.5538725,0.0,1.0343329,0.22290951,0.41872028,2.5895696,0.60328,0.01661918
43,simulation5,0.655439,0.074175745,1.1304412,0.3307781,0.4388156,2.5826454,0.60024834,0.01661918
44,simulation5,0.6273698,0.1570212,1.0555255,0.39760047,0.4053313,2.6046774,0.5857903,0.01661918
45,simulation5,0.5768213,0.18433377,0.9800113,0.40373695,0.37922198,2.6203146,0.57787925,0.01661918
46,simulation5,0.67072654,0.20314503,1.0888495,0.45743307,0.4095048,2.604575,0.5824212,0.01661918
47,simulation5,0.518155,0.087068126,0.94885254,0.2901272,0.38156673,2.613981,0.58743215,0.01661918
48,simulation5,0.6314513,0.021160875,1.1251935,0.27221575,0.4441754,2.5772393,0.6062953,0.01661918
49,simulation5,0.65869707,0.0,1.1716955,0.26279733,0.46150532,2.567107,0.6116833,0.01661918
50,simulation5,0.6604178,0.02937341,1.159234,0.29082918,0.45370477,2.5726378,0.60737395,0.01661918
51,simulation5,0.6886775,0.0,1.2103975,0.2740594,0.4733056,2.5605757,0.6141048,0.01661918
52,simulation5,0.6921484,0.052424055,1.1882306,0.32429546,0.45930335,2.5703957,0.60644317,0.01661918
53,simulation5,0.70764697,0.0,1.2351608,0.28115138,0.4809178,2.5564208,0.6156425,0.01661918
54,simulation5,0.7653075,0.07694075,1.2704834,0.37454405,0.48102155,2.5594163,0.6086182,0.01661918
55,simulation5,0.75283957,0.1375352,1.2232058,0.42676058,0.4582133,2.574333,0.5985334,0.01661918
56,simulation5,0.70387816,0.034399875,1.2124585,0.31185323,0.46915448,2.5642176,0.6101093,0.01661918
57,simulation5,0.7317941,0.10711495,1.2115407,0.39034894,0.458853,2.5727878,0.60140204,0.01661918
58,simulation5,0.7261355,0.06674031,1.2247216,0.35041267,0.46841553,2.5658994,0.60701084,0.01661918
59,simulation5,0.80399996,0.012775089,1.3570857,0.32871616,0.5172182,2.5377214,0.6215331,0.01661918
60,simulation5,0.81212753,0.18131389,1.2773256,0.48998475,0.46861237,2.5702887,0.59671634,0.01661918
61,simulation5,0.8158771,0.10596616,1.3218814,0.42046115,0.49284333,2.5542264,0.6083018,0.01661918
62,simulation5,0.7283527,0.08876526,1.2163757,0.37186444,0.46283686,2.569851,0.60387653,0.01661918
63,simulation5,0.8316552,0.090727836,1.3512839,0.41193527,0.50418735,2.5476317,0.61187756,0.01661918
64,simulation5,0.81261754,0.016145503,1.3669597,0.33502522,0.51986176,2.536495,0.62171966,0.01661918
65,simulation5,0.8056156,0.14740916,1.2864052,0.45564747,0.47608235,2.564877,0.6012548,0.01661918
66,simulation5,0.87264097,0.14691792,1.3756641,0.4797903,0.5038346,2.5500534,0.6066857,0.01661918
67,simulation5,0.87050843,0.019339038,1.4455131,0.3590597,0.5445941,2.5240827,0.62597686,0.01661918
68,simulation5,0.88618815,0.069065385,1.4383616,0.4114131,0.53498876,2.530916,0.6196091,0.01661918
69,simulation5,0.9181366,0.11012595,1.4590007,0.46158627,0.53560954,2.532238,0.6159335,0.01661918
70,simulation5,0.8491265,0.104034014,1.3675171,0.43083358,0.50738114,2.546495,0.6112709,0.01661918
71,simulation5,0.9039041,0.056312315,1.4707059,0.4058101,0.54729587,2.5242243,0.62301785,0.01661918
72,simulation5,0.90918654,0.1378553,1.4306151,0.4845062,0.52250874,2.5400138,0.6109915,0.01661918
73,simulation5,0.9289097,0.14412664,1.4542797,0.49753973,0.52914715,2.5368776,0.611629,0.01661918
74,simulation5,1.0644354,0.20257209,1.6113774,0.6010894,0.57143426,2.5183344,0.61368364,0.01661918
75,simulation5,0.9836586,0.08986092,1.5643404,0.46587795,0.5728583,2.5130408,0.6243818,0.01661918
76,simulation5,0.9256904,0.10616761,1.4718844,0.4605718,0.54033315,2.5297022,0.61715084,0.01661918
77,simulation5,0.99339724,0.013352261,1.6272739,0.39722937,0.6053983,2.494457,0.6370896,0.01661918
78,simulation5,0.85113204,0.09917393,1.3729359,0.42699504,0.50978476,2.5450478,0.6121698,0.01661918
79,simulation5,1.0907973,0.11024789,1.709791,0.52269465,0.6182342,2.4925601,0.63002956,0.01661918
80,simulation5,0.96047896,0.041449144,1.5608287,0.4120408,0.5789911,2.5081072,0.6299743,0.01661918
81,simulation5,1.129714,0.019516902,1.8328855,0.45022047,0.6746801,2.4635925,0.6475319,0.01661918
82,simulation5,1.0654341,0.14631365,1.6483332,0.54804766,0.5921184,2.5061812,0.6223733,0.01661918
83,simulation5,0.9644094,0.04484526,1.5644236,0.41663116,0.5796646,2.5079212,0.6297723,0.01661918
84,simulation5,1.0667793,0.08356981,1.6912415,0.4891096,0.616096,2.4924276,0.6321998,0.01661918
85,simulation5,0.9703552,0.06425407,1.5609515,0.43701744,0.5755901,2.510672,0.6272517,0.01661918
86,simulation5,1.0873661,0.12226872,1.6966475,0.53289485,0.61195207,2.4959464,0.6278827,0.01661918
87,simulation5,1.1198903,0.13190953,1.7394181,0.5532873,0.6248981,2.4904232,0.6290653,0.01661918
88,simulation5,0.93729097,0.2204944,1.4225079,0.57278514,0.50809497,2.5507536,0.60078806,0.01661918
89,simulation5,1.1410141,0.053305022,1.8265878,0.48602554,0.66710186,2.4683263,0.64312965,0.01661918
90,simulation5,1.1748618,0.16332816,1.8022906,0.6020001,0.6413839,2.4843159,0.62871945,0.01661918
91,simulation5,1.0672361,0.037981458,1.7225355,0.4461986,0.6337852,2.4824603,0.63937676,0.01661918
92,simulation5,1.1138574,0.048016805,1.7877073,0.47174153,0.6545209,2.4736238,0.64169097,0.01661918
