gene_name,epoch,loss
Mllt3,4,0.1308578
Mllt3,9,0.1018949
Mllt3,14,0.069441214
Mllt3,19,0.06457836
Mllt3,24,0.059639324
Mllt3,29,0.05877223
Mllt3,34,0.059229333
Mllt3,39,0.055461496
Mllt3,44,0.05360458
Mllt3,49,0.05309034
Mllt3,54,0.05386945
Mllt3,59,0.05353117
Mllt3,64,0.051931184
Mllt3,69,0.05455961
Mllt3,74,0.055840522
Mllt3,79,0.054649897
Coro2b,4,0.037332706
Coro2b,9,0.033997606
Coro2b,14,0.034067966
Coro2b,19,0.0330792
Coro2b,24,0.032585498
Coro2b,29,0.034225635
Coro2b,34,0.033827346
Coro2b,39,0.031894833
Coro2b,44,0.0319652
Coro2b,49,0.030632248
Coro2b,54,0.033349387
Coro2b,59,0.03770694
Coro2b,64,0.03272358
Hba-x,4,0.14198421
Hba-x,9,0.14851533
Hba-x,14,0.15339398
Hba-x,19,0.16937776
Phc2,4,0.104032956
Phc2,9,0.09755508
Phc2,14,0.087660946
Phc2,19,0.0792082
Phc2,24,0.06147442
Phc2,29,0.051234253
Phc2,34,0.051645357
Phc2,39,0.04507959
Phc2,44,0.041379966
Phc2,49,0.04162422
Phc2,54,0.04257207
Phc2,59,0.043173622
Nfkb1,4,0.036639392
Nfkb1,9,0.03505438
Nfkb1,14,0.03383996
Nfkb1,19,0.03308154
Nfkb1,24,0.029754365
Nfkb1,29,0.02618537
Nfkb1,34,0.02488231
Nfkb1,39,0.022987481
Nfkb1,44,0.020487536
Nfkb1,49,0.021170119
Nfkb1,54,0.020360988
Nfkb1,59,0.019034138
Nfkb1,64,0.018317413
Nfkb1,69,0.017654113
Nfkb1,74,0.01694495
Nfkb1,79,0.017385777
Nfkb1,84,0.018760141
Nfkb1,89,0.017257985
Smarca2,4,0.046244312
Smarca2,9,0.039315604
Smarca2,14,0.033924107
Smarca2,19,0.03533565
Smarca2,24,0.032715145
Smarca2,29,0.032044172
Smarca2,34,0.031675585
Smarca2,39,0.030822808
Smarca2,44,0.03283172
Smarca2,49,0.032147188
Smarca2,54,0.029023472
Smarca2,59,0.02694701
Smarca2,64,0.02818999
Smarca2,69,0.02895318
Smarca2,74,0.029412746
Skap1,4,0.06400363
Skap1,9,0.059143435
Skap1,14,0.056773596
Skap1,19,0.058679618
Skap1,24,0.057731878
Skap1,29,0.054422997
Skap1,34,0.051832426
Skap1,39,0.050858814
Skap1,44,0.055889286
Skap1,49,0.058703326
Skap1,54,0.05147041
Blvrb,4,0.09116363
Blvrb,9,0.08488746
Blvrb,14,0.07947212
Blvrb,19,0.07510797
Blvrb,24,0.07209064
Blvrb,29,0.07459053
Blvrb,34,0.073649324
Blvrb,39,0.07431649
Sulf2,4,0.054868914
Sulf2,9,0.051117253
Sulf2,14,0.04336925
Sulf2,19,0.040284283
Sulf2,24,0.041659113
Sulf2,29,0.040420987
Sulf2,34,0.0375203
Sulf2,39,0.035797756
Sulf2,44,0.032781053
Sulf2,49,0.032474063
Sulf2,54,0.03267383
Sulf2,59,0.029928183
Sulf2,64,0.031870876
Sulf2,69,0.03341654
Sulf2,74,0.03311565
Smim1,4,0.10436779
Smim1,9,0.09660895
Smim1,14,0.09341021
Smim1,19,0.0969847
Smim1,24,0.09433071
Smim1,29,0.09138648
Smim1,34,0.08542724
Smim1,39,0.0799193
Smim1,44,0.075901724
Smim1,49,0.07061034
Smim1,54,0.06897031
Smim1,59,0.06729014
Smim1,64,0.067882575
Smim1,69,0.064760916
Smim1,74,0.05750423
Smim1,79,0.05951541
Smim1,84,0.060243417
Smim1,89,0.05914549
Myo1b,4,0.040390886
Myo1b,9,0.042882834
Myo1b,14,0.042471096
Myo1b,19,0.040009137
Myo1b,24,0.03764056
Myo1b,29,0.033595115
Myo1b,34,0.034018468
Myo1b,39,0.034158
Myo1b,44,0.030598331
Myo1b,49,0.027424807
Myo1b,54,0.027160784
Myo1b,59,0.029893983
Myo1b,64,0.028831292
Myo1b,69,0.02597775
Myo1b,74,0.026449572
Myo1b,79,0.026749695
Myo1b,84,0.026805814
Snca,4,0.0933569
Snca,9,0.087382756
Snca,14,0.080354296
Snca,19,0.07433312
Snca,24,0.07303802
Snca,29,0.07254409
Snca,34,0.07043438
Snca,39,0.070833266
Snca,44,0.07362622
Snca,49,0.07606484
Yipf5,4,0.11240703
Yipf5,9,0.11001662
Yipf5,14,0.101112984
Yipf5,19,0.09633913
Yipf5,24,0.09533499
Yipf5,29,0.088283725
Yipf5,34,0.080996774
Yipf5,39,0.06826641
Yipf5,44,0.055668116
Yipf5,49,0.047352478
Yipf5,54,0.04437559
Yipf5,59,0.04473023
Yipf5,64,0.04509089
Yipf5,69,0.0461061
